제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
김정은 & 김소연 초청 피아노 듀오 리사이틀,2025-04-26,2025-04-26,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70451
최민지 첼로 독주회,2025-04-26,2025-04-26,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70452
제5회 불교미술일섭문도전,2025-04-26,2025-05-06,전시,사단법인 불교미술일섭문도회,대관,한가람미술관제1전시실,https://www.sac.or.kr/site/main/show/show_view?SN=71881
오지윤 - 해가 지지 않는 바다,2025-04-26,2025-05-10,전시,주식회사에이엠비,대관,한가람미술관제2전시실,https://www.sac.or.kr/site/main/show/show_view?SN=71540
아티너스 33회 정기연주회,2025-04-26,2025-04-26,클래식,아티너스,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=69658
바흐솔리스텐서울 창단 20주년 기념음악회 - I,2025-04-26,2025-04-26,클래식,클래포트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70146
2025 서울스프링실내악축제 0426,2025-04-26,2025-04-26,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69710
2025 서울스프링실내악축제 0425,2025-04-25,2025-04-25,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69711
최자은 포르테피아노 독주회,2025-04-25,2025-04-25,독주,최자은,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=69659
오세영_Fantasy,2025-04-25,2025-05-06,전시,남경원,대관,"한가람미술관제5전시실,한가람미술관제5전시실",https://www.sac.or.kr/site/main/show/show_view?SN=71972
KT와 함께하는 예술의전당 마음을 담은 클래식(4월),2025-04-25,2025-04-25,,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66230
(사)한국여성작곡가회 제80회 봄정기발표회,2025-04-25,2025-04-25,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70583
강드보라 바이올린 독주회,2025-04-24,2025-04-24,클래식,제이에스클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=74128
홍유진 반주 리사이틀,2025-04-24,2025-04-24,클래식,에스프리,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=69953
2025 서울스프링실내악축제 0424,2025-04-24,2025-04-24,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69712
2025 서울스프링실내악축제 0423,2025-04-23,2025-04-23,클래식,(사)서울스프링실내악축제집행위원회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=69713
한국슈베르트협회 77회 정기연주회,2025-04-23,2025-04-23,성악,코바기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70080
한국교수콰이어 제19회 정기연주회,2025-04-23,2025-04-23,클래식,영음예술기획,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=74681
